indicator,date,rate
high,2023-07-14 19:19:00,190.79
low,2023-07-14 19:19:00,190.75
close,2023-07-14 19:19:00,190.75
open,2023-07-14 19:18:00,190.775
high,2023-07-14 19:18:00,190.8
low,2023-07-14 19:18:00,190.775
close,2023-07-14 19:18:00,190.8
open,2023-07-14 19:17:00,190.76
high,2023-07-14 19:17:00,190.81
low,2023-07-14 19:17:00,190.75
close,2023-07-14 19:17:00,190.78
open,2023-07-14 19:16:00,190.8
high,2023-07-14 19:16:00,190.8
low,2023-07-14 19:16:00,190.75
close,2023-07-14 19:16:00,190.8
open,2023-07-14 19:15:00,190.8
high,2023-07-14 19:15:00,190.8
low,2023-07-14 19:15:00,190.775
close,2023-07-14 19:15:00,190.79
open,2023-07-14 19:14:00,190.8
high,2023-07-14 19:14:00,190.8
low,2023-07-14 19:14:00,190.78
close,2023-07-14 19:14:00,190.79
open,2023-07-14 19:13:00,190.77
high,2023-07-14 19:13:00,190.8
low,2023-07-14 19:13:00,190.75
close,2023-07-14 19:13:00,190.79
open,2023-07-14 19:12:00,190.77
high,2023-07-14 19:12:00,190.8
low,2023-07-14 19:12:00,190.75
close,2023-07-14 19:12:00,190.77
open,2023-07-14 19:11:00,190.79
high,2023-07-14 19:11:00,190.79
low,2023-07-14 19:11:00,190.765
close,2023-07-14 19:11:00,190.78
open,2023-07-14 19:10:00,190.78
high,2023-07-14 19:10:00,190.8
low,2023-07-14 19:10:00,190.78
close,2023-07-14 19:10:00,190.79
open,2023-07-14 19:09:00,190.775
high,2023-07-14 19:09:00,190.8
low,2023-07-14 19:09:00,190.75
close,2023-07-14 19:09:00,190.78
open,2023-07-14 19:08:00,190.775
high,2023-07-14 19:08:00,190.8
low,2023-07-14 19:08:00,190.75
close,2023-07-14 19:08:00,190.75
open,2023-07-14 19:07:00,190.775
high,2023-07-14 19:07:00,190.8
low,2023-07-14 19:07:00,190.75
close,2023-07-14 19:07:00,190.775
open,2023-07-14 19:06:00,190.77
high,2023-07-14 19:06:00,190.8
low,2023-07-14 19:06:00,190.75
close,2023-07-14 19:06:00,190.775
open,2023-07-14 19:05:00,190.75
high,2023-07-14 19:05:00,190.77
low,2023-07-14 19:05:00,190.75
close,2023-07-14 19:05:00,190.75
open,2023-07-14 19:04:00,190.75
high,2023-07-14 19:04:00,190.75
low,2023-07-14 19:04:00,190.72
close,2023-07-14 19:04:00,190.735
open,2023-07-14 19:03:00,190.71
high,2023-07-14 19:03:00,190.75
low,2023-07-14 19:03:00,190.71
close,2023-07-14 19:03:00,190.71
open,2023-07-14 19:02:00,190.735
high,2023-07-14 19:02:00,190.75
low,2023-07-14 19:02:00,190.735
close,2023-07-14 19:02:00,190.75
open,2023-07-14 19:01:00,190.72
high,2023-07-14 19:01:00,190.75
low,2023-07-14 19:01:00,190.72
close,2023-07-14 19:01:00,190.735
open,2023-07-14 19:00:00,190.75
high,2023-07-14 19:00:00,190.75
low,2023-07-14 19:00:00,190.71
close,2023-07-14 19:00:00,190.71
open,2023-07-14 18:59:00,190.75
high,2023-07-14 18:59:00,190.75
low,2023-07-14 18:59:00,190.75
close,2023-07-14 18:59:00,190.75
open,2023-07-14 18:58:00,190.75
high,2023-07-14 18:58:00,190.75
low,2023-07-14 18:58:00,190.75
close,2023-07-14 18:58:00,190.75
open,2023-07-14 18:57:00,190.75
high,2023-07-14 18:57:00,190.75
low,2023-07-14 18:57:00,190.75
close,2023-07-14 18:57:00,190.75
open,2023-07-14 18:56:00,190.75
high,2023-07-14 18:56:00,190.75
low,2023-07-14 18:56:00,190.75
close,2023-07-14 18:56:00,190.75
open,2023-07-14 18:55:00,190.75
high,2023-07-14 18:55:00,190.75
low,2023-07-14 18:55:00,190.74
close,2023-07-14 18:55:00,190.75
open,2023-07-14 18:54:00,190.73
high,2023-07-14 18:54:00,190.75
low,2023-07-14 18:54:00,190.71
close,2023-07-14 18:54:00,190.75
open,2023-07-14 18:53:00,190.74
high,2023-07-14 18:53:00,190.74
low,2023-07-14 18:53:00,190.71
close,2023-07-14 18:53:00,190.73
open,2023-07-14 18:52:00,190.725
high,2023-07-14 18:52:00,190.725
low,2023-07-14 18:52:00,190.72
close,2023-07-14 18:52:00,190.72
open,2023-07-14 18:51:00,190.73
high,2023-07-14 18:51:00,190.74
low,2023-07-14 18:51:00,190.71
close,2023-07-14 18:51:00,190.71
open,2023-07-14 18:50:00,190.74
high,2023-07-14 18:50:00,190.74
low,2023-07-14 18:50:00,190.71
close,2023-07-14 18:50:00,190.74
open,2023-07-14 18:49:00,190.74
high,2023-07-14 18:49:00,190.74
low,2023-07-14 18:49:00,190.71
close,2023-07-14 18:49:00,190.725
open,2023-07-14 18:48:00,190.725
high,2023-07-14 18:48:00,190.74
low,2023-07-14 18:48:00,190.71
close,2023-07-14 18:48:00,190.74
open,2023-07-14 18:47:00,190.71
high,2023-07-14 18:47:00,190.74
low,2023-07-14 18:47:00,190.71
close,2023-07-14 18:47:00,190.725
open,2023-07-14 18:46:00,190.74
high,2023-07-14 18:46:00,190.74
low,2023-07-14 18:46:00,190.71
close,2023-07-14 18:46:00,190.74
open,2023-07-14 18:45:00,190.72
high,2023-07-14 18:45:00,190.74
low,2023-07-14 18:45:00,190.7
close,2023-07-14 18:45:00,190.72
open,2023-07-14 18:44:00,190.71
high,2023-07-14 18:44:00,190.74
low,2023-07-14 18:44:00,190.7
close,2023-07-14 18:44:00,190.72
open,2023-07-14 18:43:00,190.705
high,2023-07-14 18:43:00,190.71
low,2023-07-14 18:43:00,190.7
close,2023-07-14 18:43:00,190.705
open,2023-07-14 18:42:00,190.705
high,2023-07-14 18:42:00,190.71
low,2023-07-14 18:42:00,190.7
close,2023-07-14 18:42:00,190.7
open,2023-07-14 18:41:00,190.71
high,2023-07-14 18:41:00,190.71
low,2023-07-14 18:41:00,190.7
close,2023-07-14 18:41:00,190.705
open,2023-07-14 18:40:00,190.71
high,2023-07-14 18:40:00,190.71
low,2023-07-14 18:40:00,190.7
close,2023-07-14 18:40:00,190.7
open,2023-07-14 18:39:00,190.7
high,2023-07-14 18:39:00,190.71
low,2023-07-14 18:39:00,190.7
close,2023-07-14 18:39:00,190.7
open,2023-07-14 18:38:00,190.705
high,2023-07-14 18:38:00,190.71
low,2023-07-14 18:38:00,190.7
close,2023-07-14 18:38:00,190.7
open,2023-07-14 18:37:00,190.71
high,2023-07-14 18:37:00,190.71
low,2023-07-14 18:37:00,190.705
close,2023-07-14 18:37:00,190.71
open,2023-07-14 18:36:00,190.705
high,2023-07-14 18:36:00,190.71
low,2023-07-14 18:36:00,190.7
close,2023-07-14 18:36:00,190.705
open,2023-07-14 18:35:00,190.705
high,2023-07-14 18:35:00,190.71
low,2023-07-14 18:35:00,190.705
close,2023-07-14 18:35:00,190.705
open,2023-07-14 18:34:00,190.71
high,2023-07-14 18:34:00,190.71
low,2023-07-14 18:34:00,190.7
close,2023-07-14 18:34:00,190.7
open,2023-07-14 18:33:00,190.71
high,2023-07-14 18:33:00,190.71
low,2023-07-14 18:33:00,190.7
close,2023-07-14 18:33:00,190.7
open,2023-07-14 18:32:00,190.705
high,2023-07-14 18:32:00,190.71
low,2023-07-14 18:32:00,190.7
close,2023-07-14 18:32:00,190.7
open,2023-07-14 18:31:00,190.705
high,2023-07-14 18:31:00,190.71
low,2023-07-14 18:31:00,190.7
close,2023-07-14 18:31:00,190.71
open,2023-07-14 18:30:00,190.705
high,2023-07-14 18:30:00,190.71
low,2023-07-14 18:30:00,190.7
close,2023-07-14 18:30:00,190.71
open,2023-07-14 18:29:00,190.7
high,2023-07-14 18:29:00,190.705
low,2023-07-14 18:29:00,190.7
close,2023-07-14 18:29:00,190.7
open,2023-07-14 18:28:00,190.705
high,2023-07-14 18:28:00,190.71
low,2023-07-14 18:28:00,190.7
close,2023-07-14 18:28:00,190.705
open,2023-07-14 18:27:00,190.705
high,2023-07-14 18:27:00,190.71
low,2023-07-14 18:27:00,190.7
close,2023-07-14 18:27:00,190.705
open,2023-07-14 18:26:00,190.705
high,2023-07-14 18:26:00,190.705
low,2023-07-14 18:26:00,190.7
close,2023-07-14 18:26:00,190.7
open,2023-07-14 18:25:00,190.705
high,2023-07-14 18:25:00,190.71
low,2023-07-14 18:25:00,190.7
close,2023-07-14 18:25:00,190.705
open,2023-07-14 18:24:00,190.7
high,2023-07-14 18:24:00,190.71
low,2023-07-14 18:24:00,190.7
close,2023-07-14 18:24:00,190.7
open,2023-07-14 18:23:00,190.71
high,2023-07-14 18:23:00,190.71
low,2023-07-14 18:23:00,190.7
close,2023-07-14 18:23:00,190.71
open,2023-07-14 18:22:00,190.7
high,2023-07-14 18:22:00,190.71
low,2023-07-14 18:22:00,190.7
close,2023-07-14 18:22:00,190.7
open,2023-07-14 18:21:00,190.71
high,2023-07-14 18:21:00,190.71
low,2023-07-14 18:21:00,190.705
close,2023-07-14 18:21:00,190.71
open,2023-07-14 18:20:00,190.7
high,2023-07-14 18:20:00,190.705
low,2023-07-14 18:20:00,190.7
close,2023-07-14 18:20:00,190.7
