Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/03/2022,12/04/2022,AMERICAN DREAM,Entertainment,Sale,-89.61,
12/02/2022,12/04/2022,AMERICAN DREAM,Entertainment,Sale,-89.61,
12/01/2022,12/04/2022,SO GONG DONG,Food & Drink,Sale,-37.97,
12/03/2022,12/04/2022,SQ *ROAST'D COFFEE - FORT,Food & Drink,Sale,-3.32,
12/02/2022,12/04/2022,CEMITAS PUEBLA Y TAQUERI,Food & Drink,Sale,-49.20,
12/02/2022,12/04/2022,CAFASSO'S FAIRWAY M,Groceries,Sale,-9.13,
12/02/2022,12/04/2022,Amazon.com*J56WO4BP3,Shopping,Sale,-18.65,
12/01/2022,12/02/2022,DUA COFFEE,Food & Drink,Sale,-42.45,
12/01/2022,12/02/2022,AMERICAN DREAM,Entertainment,Sale,-448.05,
12/01/2022,12/01/2022,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-550.00,
11/30/2022,11/30/2022,Amazon.com*Y583M2VI3,Shopping,Sale,-4.24,
11/29/2022,11/29/2022,AMZN Mktp US*1Z42M5533,Shopping,Sale,-36.37,
11/27/2022,11/29/2022,AS MERT,Food & Drink,Sale,-19.65,
11/28/2022,11/29/2022,99 RANCH MARKET #16,Groceries,Sale,-17.88,
11/27/2022,11/29/2022,SUNOCO 0368304201,Gas,Sale,-45.79,
11/27/2022,11/28/2022,AMZN Mktp US*HW2H92VZ2,Shopping,Sale,-21.85,
11/26/2022,11/27/2022,SP GYMSHARK INC,Shopping,Sale,-40.81,
11/26/2022,11/27/2022,AMC ONLINE 9640,Entertainment,Sale,-10.87,
11/25/2022,11/27/2022,AMC ONLINE 9640,Entertainment,Sale,-12.89,
11/24/2022,11/25/2022,SP PUBLIC REC,Shopping,Sale,-86.40,
11/24/2022,11/24/2022,AMC ONLINE 9640,Entertainment,Sale,-51.56,
11/23/2022,11/24/2022,TARGET        00032359,Shopping,Sale,-6.38,
11/23/2022,11/24/2022,SAMDAN MIDDLE EASTERN,Food & Drink,Sale,-64.38,
11/23/2022,11/23/2022,Payment Thank You-Mobile,,Payment,1181.29,
11/22/2022,11/22/2022,AMZN Mktp US*HI8VU08U2,Shopping,Sale,-14.92,
11/19/2022,11/21/2022,AMC 0739 RIDGEFIELD PA,Entertainment,Sale,-360.27,
11/20/2022,11/21/2022,SHOPRITE PALISDESPK S1,Groceries,Sale,-26.38,
11/19/2022,11/21/2022,YAKITORI 39,Food & Drink,Sale,-114.12,
11/18/2022,11/20/2022,BARTOLOMEO DELI INC,Food & Drink,Sale,-87.34,
11/18/2022,11/20/2022,UDEMY: ONLINE COURSES,Education,Sale,-22.37,
11/18/2022,11/20/2022,DELTA PALISADES PARK,Gas,Sale,-43.64,
11/19/2022,11/20/2022,ULINE  *SHIP SUPPLIES,Shopping,Sale,-41.19,
11/17/2022,11/18/2022,MVMT,Shopping,Sale,-498.48,
11/17/2022,11/18/2022,METRO COMMUNITY CHURCH,Gifts & Donations,Sale,-100.00,
11/17/2022,11/18/2022,CHOKDEE THAI KITCHEN,Food & Drink,Sale,-41.88,
11/17/2022,11/18/2022,SHOPRITE PALISDESPK S1,Groceries,Sale,-11.90,
11/16/2022,11/18/2022,GARDEN SHABU,Food & Drink,Sale,-63.21,
11/15/2022,11/17/2022,YAKITORI 39,Food & Drink,Sale,-99.90,
11/16/2022,11/16/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,389.47,
11/16/2022,11/16/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,67.76,
11/15/2022,11/16/2022,CNP*GQ BOX,Bills & Utilities,Sale,-53.31,
11/14/2022,11/15/2022,KUDO SOCIETY PK,Food & Drink,Sale,-9.97,
11/14/2022,11/15/2022,APPLE.COM/BILL,Entertainment,Sale,-0.99,
11/14/2022,11/15/2022,AMC ONLINE 9640,Entertainment,Sale,-26.60,
11/13/2022,11/14/2022,CVS/PHARMACY #10379,Health & Wellness,Sale,-18.12,
11/14/2022,11/14/2022,Payment Thank You-Mobile,,Payment,424.47,
11/13/2022,11/14/2022,CVS/PHARMACY #10379,Health & Wellness,Sale,-3.93,
11/12/2022,11/13/2022,SQ *DIM SUM STATION,Food & Drink,Sale,-23.46,
11/09/2022,11/11/2022,SUNOCO 0368305901,Gas,Sale,-50.09,
11/05/2022,11/08/2022,APA HOTEL WOODBRIDGE F,Food & Drink,Sale,-305.90,
11/07/2022,11/07/2022,Payment Thank You-Mobile,,Payment,1840.29,
11/06/2022,11/07/2022,SHOPRITE PALISDESPK S1,Groceries,Sale,-41.77,
11/05/2022,11/07/2022,CHICK-FIL-A #03429,Food & Drink,Sale,-0.85,
11/05/2022,11/07/2022,PAYBYPHONE CITY OF FOR,Travel,Sale,-2.40,
11/04/2022,11/06/2022,SPEEDWAY 03446,Gas,Sale,-45.01,
11/04/2022,11/06/2022,WOORI WANGMANDOO,Food & Drink,Sale,-14.93,
11/04/2022,11/06/2022,MCDONALD'S F3630,Food & Drink,Sale,-40.47,
11/04/2022,11/06/2022,COURSRAVJR5C6L6ORY82I,Education,Sale,-59.00,
11/04/2022,11/06/2022,CHICK-FIL-A #03966,Food & Drink,Sale,-139.95,
11/04/2022,11/06/2022,EL OAXAQUENO,Food & Drink,Sale,-29.57,
11/05/2022,11/06/2022,SUSHI AOSUSHI AOKI LLC,Food & Drink,Sale,-389.47,
11/03/2022,11/04/2022,TASTY MOMENT,Food & Drink,Sale,-79.07,
11/03/2022,11/04/2022,MAMOUN'S FALAFEL,Food & Drink,Sale,-4.79,
11/03/2022,11/04/2022,MAMOUN'S FALAFEL,Food & Drink,Sale,-18.74,
11/03/2022,11/04/2022,NBPA - PARKMOBILE,Travel,Sale,-1.85,
11/03/2022,11/04/2022,AMC ONLINE 9640,Entertainment,Sale,-8.95,
11/02/2022,11/04/2022,TACO BELL 038822,Food & Drink,Sale,-24.60,
11/03/2022,11/04/2022,E DENTAL,Health & Wellness,Sale,-65.00,
11/03/2022,11/04/2022,PANERA BREAD #601530 P,Food & Drink,Sale,-3.29,
11/03/2022,11/04/2022,H MART - RIDGEFIELD,Groceries,Sale,-119.08,
11/02/2022,11/03/2022,STOP &amp; SHOP 0828,Groceries,Sale,-3.72,
11/01/2022,11/02/2022,CEMITAS PUEBLA Y TAQUERI,Food & Drink,Sale,-29.08,
10/31/2022,11/01/2022,OLD SHANGHAI SOUP DUMPLI,Food & Drink,Sale,-38.56,
10/31/2022,10/31/2022,Payment Thank You-Mobile,,Payment,4043.49,
10/30/2022,10/31/2022,BADA STORY,Food & Drink,Sale,-551.80,
10/30/2022,10/31/2022,AMZN Mktp US*H00GA0RA0,Shopping,Sale,-53.30,
10/28/2022,10/31/2022,HANNAM MART,Groceries,Sale,-44.05,
10/29/2022,10/31/2022,H MART BK FORT LEE,Groceries,Sale,-29.68,
10/29/2022,10/31/2022,BP#9540709KWORK LLC,Gas,Sale,-46.33,
10/29/2022,10/30/2022,SQ *KOFFEEWAGON PARTNERS,Groceries,Sale,-12.74,
10/28/2022,10/30/2022,CHICK-FIL-A #03966,Food & Drink,Sale,-139.95,
10/27/2022,10/30/2022,8815 RETRO FITNESS,Health & Wellness,Sale,-8.50,
10/28/2022,10/30/2022,COSTCO WHSE #0729,Shopping,Sale,-50.08,
10/28/2022,10/30/2022,BUSAN GUKBAP,Food & Drink,Sale,-40.03,
10/28/2022,10/30/2022,MCDONALD'S F3630,Food & Drink,Sale,-13.20,
10/28/2022,10/30/2022,H MART - RIDGEFIELD,Groceries,Sale,-68.24,
10/26/2022,10/28/2022,SYLVAN FAMILY EYECARE,Health & Wellness,Sale,-75.00,
10/27/2022,10/28/2022,EGS BAGELS INC DBA CELEB,Food & Drink,Sale,-14.40,
10/27/2022,10/28/2022,H MART - FORT LEE,Groceries,Sale,-18.48,
10/27/2022,10/27/2022,AMC ONLINE 9640,Entertainment,Sale,-382.78,
10/26/2022,10/27/2022,HAR LITTLE FERRY,Groceries,Sale,-59.98,
10/26/2022,10/27/2022,AMZN Mktp US*H82E94542,Shopping,Sale,-245.17,
10/26/2022,10/27/2022,AMC ONLINE 9640,Entertainment,Sale,-12.89,
10/25/2022,10/27/2022,TST* Song E Napule - NJ,Food & Drink,Sale,-85.99,
10/25/2022,10/26/2022,FRANCY'S ARTISANAL,Food & Drink,Sale,-12.50,
10/25/2022,10/26/2022,AIRBNB  HMB3SH3TAK,Travel,Sale,-359.07,
10/25/2022,10/26/2022,HAR LITTLE FERRY,Groceries,Sale,-29.97,
10/24/2022,10/25/2022,ZTL*FREE OIL CHANGE IN CL,Automotive,Sale,-245.24,
10/24/2022,10/24/2022,CHIPOTLE ONLINE,Food & Drink,Sale,-231.70,
10/21/2022,10/24/2022,SKY AUTO BODY,Automotive,Sale,-725.05,
10/22/2022,10/23/2022,APPLE.COM/BILL,Entertainment,Sale,-3.99,
10/21/2022,10/23/2022,FORT LEE PIZZA,Food & Drink,Sale,-92.43,
10/22/2022,10/23/2022,HRAG MEINEKE 4 LLC,Automotive,Sale,-89.74,
10/22/2022,10/23/2022,AMC ONLINE 9640,Entertainment,Sale,-20.03,
10/20/2022,10/23/2022,BASILE RESTAURANT/PIZZA,Food & Drink,Sale,-9.36,
10/23/2022,10/23/2022,LYFT   *3 RIDES 10-21,Travel,Sale,-36.97,
10/19/2022,10/21/2022,SYLVAN FAMILY EYECARE,Health & Wellness,Sale,-73.00,
10/20/2022,10/21/2022,76 FORT LEE,Gas,Sale,-44.33,
10/20/2022,10/21/2022,BOBO`S HAIR BAR,Personal,Sale,-30.00,
10/20/2022,10/21/2022,ZTL*FREE OIL CHANGE IN CL,Automotive,Sale,-63.98,
10/20/2022,10/21/2022,H MART - RIDGEFIELD,Groceries,Sale,-59.32,
10/18/2022,10/20/2022,PAYBYPHONE CITY OF FOR,Travel,Sale,-2.65,
10/19/2022,10/20/2022,THE TIRE RACK,Automotive,Sale,-590.26,
10/18/2022,10/19/2022,WOK BAR.,Food & Drink,Sale,-41.55,
10/18/2022,10/19/2022,FRANCY'S ARTISANAL,Food & Drink,Sale,-12.50,
10/18/2022,10/19/2022,SQ *MATCHA CAFE MAIKO,Food & Drink,Sale,-6.66,
10/17/2022,10/18/2022,VISENTINI BROTHERS,Food & Drink,Sale,-15.50,
10/17/2022,10/17/2022,Payment Thank You-Mobile,,Payment,405.23,
10/16/2022,10/17/2022,TST* Razza,Food & Drink,Sale,-20.26,
10/15/2022,10/16/2022,APPLE.COM/BILL,Entertainment,Sale,-0.99,
10/14/2022,10/16/2022,FORT LEE PIZZA,Food & Drink,Sale,-316.01,
10/15/2022,10/16/2022,SQ *CORTO,Food & Drink,Sale,-62.69,
10/14/2022,10/16/2022,AMC ONLINE 9640,Entertainment,Sale,-25.54,
10/14/2022,10/14/2022,Payment Thank You-Mobile,,Payment,313.25,
10/12/2022,10/13/2022,TRADER JOE'S #605  QPS,Groceries,Sale,-69.17,
10/11/2022,10/13/2022,PAYBYPHONE CITY OF FOR,Travel,Sale,-1.90,
10/12/2022,10/13/2022,LUKOIL 57295,Gas,Sale,-98.34,
10/11/2022,10/12/2022,BUSAN GUKBAP,Food & Drink,Sale,-57.03,
10/10/2022,10/11/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-0.65,
10/09/2022,10/09/2022,Payment Thank You-Mobile,,Payment,481.08,
10/07/2022,10/09/2022,QUEENS KOSHER PITA &amp; BAKE,Groceries,Sale,-7.00,
10/07/2022,10/09/2022,SQ *CITY OF SAINTS COFFEE,Groceries,Sale,-16.00,
10/07/2022,10/09/2022,PARKWHIZ  INC.,Travel,Return,27.56,
10/06/2022,10/09/2022,JERRY'S GOURMET AND MO,Groceries,Sale,-25.19,
10/07/2022,10/09/2022,PARKWHIZ  INC.,Travel,Sale,-19.08,
10/06/2022,10/09/2022,EXXONMOBIL    98705288,Gas,Sale,-46.45,
10/06/2022,10/07/2022,SHOPRITE PALISDESPK S1,Groceries,Sale,-27.97,
10/07/2022,10/07/2022,PARKWHIZ  INC.,Travel,Sale,-27.56,
10/06/2022,10/07/2022,E DENTAL,Health & Wellness,Sale,-65.00,
10/06/2022,10/07/2022,COSTCO WHSE #0729,Shopping,Sale,-16.68,
10/05/2022,10/06/2022,Amazon seller repay,Shopping,Sale,-33.87,
10/04/2022,10/05/2022,COURSRAVJR5C6L6ORY82I,Education,Sale,-59.00,
10/03/2022,10/04/2022,TST* RECEPTION BAR,Food & Drink,Sale,-56.17,
09/30/2022,10/02/2022,BARTOLOMEO DELI INC,Food & Drink,Sale,-114.37,
09/30/2022,10/02/2022,FRANCY'S ARTISANAL,Food & Drink,Sale,-63.98,
09/29/2022,09/29/2022,Payment Thank You-Mobile,,Payment,1102.55,
09/28/2022,09/29/2022,H MART - FORT LEE,Groceries,Sale,-16.48,
09/27/2022,09/28/2022,SQ *J &amp; L TACO LOCO,Food & Drink,Sale,-10.66,
09/26/2022,09/27/2022,COSTCO WHSE #0729,Shopping,Sale,-78.45,
09/26/2022,09/27/2022,SQ *KOFFEEWAGON PARTNERS,Groceries,Sale,-26.53,
09/24/2022,09/26/2022,MINNEWASKA SP POS2,Bills & Utilities,Sale,-10.00,
09/24/2022,09/25/2022,ADIDAS US ONLINE STORE,Shopping,Sale,-135.00,
09/24/2022,09/25/2022,SQ *KOFFEEWAGON PARTNERS,Groceries,Sale,-2.95,
09/23/2022,09/25/2022,NY GRO INC,Groceries,Sale,-50.06,
09/23/2022,09/25/2022,CHICK-FIL-A #03966,Food & Drink,Sale,-20.73,
09/24/2022,09/25/2022,IPHO VIETNAMESE RESTAURAN,Food & Drink,Sale,-37.67,
09/23/2022,09/25/2022,AMZN Mktp US*1U2360PC1,Shopping,Sale,-37.31,
09/22/2022,09/23/2022,E DENTAL,Health & Wellness,Sale,-45.00,
09/23/2022,09/23/2022,AMZN Mktp US*1U1W670I1,Shopping,Sale,-33.04,
09/22/2022,09/23/2022,SLICE*SONNYSPIZZERIARE,Food & Drink,Sale,-121.78,
09/21/2022,09/22/2022,SQ *KOFFEEWAGON PARTNERS,Groceries,Sale,-16.57,
09/21/2022,09/22/2022,Amazon seller repay,Shopping,Sale,-39.99,
09/21/2022,09/22/2022,SQ *KOFFEEWAGON PARTNERS,Groceries,Sale,-26.53,
09/21/2022,09/22/2022,SQ *J &amp; L TACO LOCO,Food & Drink,Sale,-12.79,
09/19/2022,09/21/2022,HANAM DAEJI,Food & Drink,Sale,-158.26,
09/17/2022,09/19/2022,GARDEN SHABU,Food & Drink,Sale,-72.40,
09/16/2022,09/19/2022,DUA COFFEE,Food & Drink,Sale,-19.36,
09/18/2022,09/19/2022,TST* Baby Lucs,Food & Drink,Sale,-9.80,
09/16/2022,09/18/2022,SQ *CUCINA AL VOLO,Groceries,Sale,-18.15,
09/17/2022,09/18/2022,FRANCY'S ARTISANAL,Food & Drink,Sale,-15.03,
09/17/2022,09/18/2022,PARKMOBILE,Travel,Sale,-5.05,
09/16/2022,09/18/2022,FIRST WATCH - 0492,Food & Drink,Sale,-50.41,
09/16/2022,09/18/2022,WHOLEFDS TYS 10049,Groceries,Sale,-22.93,
09/16/2022,09/18/2022,TST* Plaka Grill - Falls,Food & Drink,Sale,-10.95,
09/17/2022,09/18/2022,PARKMOBILE,Travel,Sale,-5.15,
09/16/2022,09/18/2022,Spin Mobility,Travel,Sale,-10.00,
09/16/2022,09/16/2022,Payment Thank You-Mobile,,Payment,36.18,
09/14/2022,09/15/2022,AMC ONLINE 9640,Entertainment,Sale,-25.54,
09/14/2022,09/14/2022,Payment Thank You-Mobile,,Payment,155.31,
09/13/2022,09/14/2022,SHAKE SHACK - 1131A,Food & Drink,Sale,-10.64,
09/13/2022,09/13/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,138.18,
09/13/2022,09/13/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,71.09,
09/13/2022,09/13/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,26.02,
09/09/2022,09/11/2022,SQ *ROAST'D COFFEE - FORT,Food & Drink,Sale,-8.51,
09/10/2022,09/11/2022,SQ *ROAST'D COFFEE - FORT,Food & Drink,Sale,-17.84,
09/09/2022,09/11/2022,CHICK-FIL-A #03966,Food & Drink,Sale,-240.34,
09/07/2022,09/08/2022,SEAFOOD GOURMET,Food & Drink,Sale,-92.72,
09/07/2022,09/07/2022,Payment Thank You-Mobile,,Payment,2015.84,
09/06/2022,09/07/2022,SHAKE SHACK - 1177A,Food & Drink,Sale,-31.19,
09/04/2022,09/05/2022,COURSRA4RFGX2IFAVEH3Q,Education,Sale,-39.00,
09/04/2022,09/05/2022,ANTHONY FRANCO'S,Food & Drink,Sale,-16.04,
09/04/2022,09/05/2022,SQ *ROAST'D COFFEE - FORT,Food & Drink,Sale,-8.92,
09/03/2022,09/04/2022,GREATLEARNI,Education,Return,500.00,
08/31/2022,09/02/2022,SAMBONG NAENG MYUN,Food & Drink,Sale,-26.02,
08/31/2022,09/02/2022,EAGLE THAI CUISINE,Food & Drink,Sale,-54.43,
09/01/2022,09/01/2022,PARKMOBILE,Travel,Sale,-0.85,
08/30/2022,08/31/2022,SQ *POKE CREW,Food & Drink,Sale,-31.54,
08/30/2022,08/31/2022,BCD TOFU HOUSE,Food & Drink,Sale,-43.23,
08/31/2022,08/31/2022,LYFT   *1 RIDE 08-29,Travel,Sale,-12.93,
08/30/2022,08/31/2022,SQ *POKE CREW,Food & Drink,Sale,-4.26,
08/30/2022,08/30/2022,Amazon.com*KG8IA7XV3,Shopping,Sale,-16.20,
08/28/2022,08/29/2022,AMC ONLINE 9640,Entertainment,Sale,-13.85,
08/28/2022,08/29/2022,SQ *POKE CREW,Food & Drink,Sale,-36.87,
08/26/2022,08/29/2022,JOES ROTISSERIA ASBURY PA,Food & Drink,Sale,-217.65,
08/28/2022,08/28/2022,Amazon.com*EO3XS1CZ3,Shopping,Sale,-6.29,
08/26/2022,08/28/2022,COSTCO WHSE #0729,Shopping,Sale,-8.36,
08/25/2022,08/28/2022,GREATLEARNI,Education,Sale,-500.00,
08/26/2022,08/28/2022,City of Asbury Park  NJ,Travel,Sale,-13.05,
08/26/2022,08/28/2022,ASBURY PARK PAY STATIONS,Travel,Sale,-60.00,
08/26/2022,08/28/2022,ASBURY PARK PAY STATIONS,Travel,Sale,-66.00,
08/26/2022,08/28/2022,ASBURY PARK ROASTERYBRDS,Groceries,Sale,-23.99,
08/26/2022,08/28/2022,DAIRY QUEEN #15555,Food & Drink,Sale,-134.84,
08/26/2022,08/28/2022,WANDERLUST - ASBURY,Shopping,Sale,-53.26,
08/25/2022,08/26/2022,AMZN Mktp US*V55PK3MQ3,Shopping,Sale,-9.59,
08/25/2022,08/26/2022,AS MERT,Food & Drink,Sale,-29.51,
08/25/2022,08/26/2022,COSTCO WHSE #0729,Shopping,Sale,-12.87,
08/25/2022,08/26/2022,COSTCO WHSE #0729,Shopping,Sale,-12.48,
08/25/2022,08/26/2022,PARKMOBILE,Travel,Sale,-1.10,
08/25/2022,08/26/2022,MMUSA LLC,Food & Drink,Sale,-30.48,
08/24/2022,08/25/2022,AMZN Mktp US*WX9062VP3,Shopping,Sale,-117.28,
08/23/2022,08/24/2022,AMZN Digital*FV38890K3,Shopping,Sale,-9.99,
08/22/2022,08/23/2022,COSTCO WHSE #1214,Shopping,Sale,-55.93,
08/19/2022,08/21/2022,APOLLO CLINICAL LABORATOR,Health & Wellness,Sale,-600.00,
08/19/2022,08/21/2022,BARTOLOMEO DELI INC,Food & Drink,Sale,-95.27,
08/20/2022,08/21/2022,SHOPRITE PALISDESPK S1,Groceries,Sale,-73.47,
08/21/2022,08/21/2022,Kindle Svcs*YG4R75BH3,Shopping,Sale,-1.06,
08/16/2022,08/18/2022,TACO BELL 039071,Food & Drink,Sale,-8.08,
08/16/2022,08/16/2022,Payment Thank You-Mobile,,Payment,34.53,
08/15/2022,08/16/2022,SQ *ROAST'D COFFEE - FORT,Food & Drink,Sale,-17.84,
08/16/2022,08/16/2022,CNP*GQ BOX,Bills & Utilities,Sale,-53.31,
08/15/2022,08/15/2022,Payment Thank You-Mobile,,Payment,1834.99,
08/14/2022,08/15/2022,STOP &amp; SHOP 0835,Groceries,Sale,-8.99,
08/14/2022,08/15/2022,AMC ONLINE 9640,Entertainment,Sale,-25.54,
08/05/2022,08/07/2022,DUNKIN #348717 Q35,Food & Drink,Sale,-4.33,
08/03/2022,08/04/2022,PARKING METERS PILOT PROG,Travel,Sale,-2.75,
08/03/2022,08/04/2022,ParkBoston,Travel,Sale,-4.40,
08/02/2022,08/03/2022,SQ *KOHI COFFEE COMPANY,Food & Drink,Sale,-22.77,
08/02/2022,08/03/2022,PROVINCETOWN PORTUGUESE B,Food & Drink,Sale,-44.94,
07/31/2022,08/02/2022,MYSTIC CYCLE CENTRE,Shopping,Sale,-138.21,
08/01/2022,08/02/2022,CVS/PHARMACY #01576,Health & Wellness,Sale,-52.86,
07/31/2022,08/01/2022,COSTCO WHSE#1372,Shopping,Sale,-158.40,
07/29/2022,08/01/2022,JOHNS ROAST PORK,Food & Drink,Sale,-131.22,
07/30/2022,07/31/2022,SQ *PHO NHA TRANG,Food & Drink,Sale,-11.80,
07/29/2022,07/31/2022,SQ *FEDERAL DONUTS 2ND ST,Food & Drink,Sale,-47.52,
07/29/2022,07/31/2022,SQ *MORTON RECORDS,Shopping,Sale,-55.00,
07/30/2022,07/31/2022,CVS/PHARMACY #00749,Health & Wellness,Sale,-15.98,
07/28/2022,07/29/2022,REG SALISBURY 16  0674,Entertainment,Sale,-149.03,
07/28/2022,07/29/2022,CHIPOTLE 1446,Food & Drink,Sale,-41.34,
07/28/2022,07/29/2022,WAWA 555      00005553,Gas,Sale,-52.95,
07/27/2022,07/28/2022,WAWA 555      00005553,Gas,Sale,-16.96,
07/27/2022,07/28/2022,WAL-MART #2931,Groceries,Sale,-19.01,
07/26/2022,07/28/2022,WENDYS  6652,Food & Drink,Sale,-31.03,
07/26/2022,07/27/2022,ASSATEAGUE IS NATL SEAS,Bills & Utilities,Sale,-25.00,
07/26/2022,07/27/2022,TARGET        00012336,Shopping,Sale,-7.40,
07/25/2022,07/26/2022,WAWA 555      00005553,Gas,Sale,-23.90,
07/25/2022,07/26/2022,SQ *KOFFEEWAGON PARTNERS,Groceries,Sale,-7.84,
07/23/2022,07/26/2022,EGS BAGELS INC DBA CELEB,Food & Drink,Sale,-13.36,
07/25/2022,07/26/2022,CVS/PHARMACY #08281,Health & Wellness,Sale,-66.55,
07/25/2022,07/26/2022,CVS/PHARMACY #08281,Health & Wellness,Sale,-20.32,
07/24/2022,07/25/2022,EGS BAGELS INC DBA CELEB,Food & Drink,Sale,-13.36,
07/23/2022,07/25/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-2.90,
07/25/2022,07/25/2022,LYFT   *1 RIDE 07-23,Travel,Sale,-65.88,
07/22/2022,07/24/2022,NATURE REPUBLIC,Shopping,Sale,-58.64,
07/21/2022,07/24/2022,PAYBYPHONE CITY OF FOR,Travel,Sale,-1.90,
07/21/2022,07/24/2022,CITY OF ENGLEWOOD METE,Travel,Sale,-0.60,
07/23/2022,07/24/2022,BT POSITANO RESTAURAN,Food & Drink,Sale,-95.49,
07/23/2022,07/24/2022,LOccitane,Shopping,Sale,-39.98,
07/22/2022,07/24/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-10.90,
07/21/2022,07/24/2022,BOBO`S HAIR BAR,Personal,Sale,-30.00,
07/21/2022,07/24/2022,BLACKSTAR BAKERY CAFE LOC,Food & Drink,Sale,-6.80,
07/22/2022,07/24/2022,LAS MARAVILLAS DE TULCIN,Food & Drink,Sale,-24.19,
07/22/2022,07/24/2022,TST* Kame Ramen,Food & Drink,Sale,-78.38,
07/22/2022,07/24/2022,CHICK-FIL-A #03966,Food & Drink,Sale,-133.02,
07/21/2022,07/22/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,177.00,
07/21/2022,07/22/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,120.65,
07/21/2022,07/22/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,7.25,
07/21/2022,07/22/2022,SA RIT GOL,Food & Drink,Sale,-40.10,
07/21/2022,07/22/2022,SQ *ROAST'D COFFEE - FORT,Food & Drink,Sale,-10.18,
07/21/2022,07/22/2022,GUACAMOLE A TASTE OF,Food & Drink,Sale,-139.45,
